"center_code_anon","source_key_type","source_key_value","center_name","ministry","first_year_be","last_year_be","record_count"
"SCH_G3_0044","user_code","7238152417","รร.ตชด.บ้านคำชมภู","สำนักงานตำรวจแห่งชาติ","2563","2567","3"
"SCH_G3_0045","user_code","7238152418","รร..ตชด.บ้านไทยเสรี","สำนักงานตำรวจแห่งชาติ","2563","2564","2"
"SCH_G3_0046","user_code","7241182415","รร.ตชด.บ้านเทพภูเงิน","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0047","user_code","7241222404","รร.ตชด.บ้านห้วยเวียงงาม","สำนักงานตำรวจแห่งชาติ","2563","2563","1"
"SCH_G3_0048","user_code","7241222409","รร.ตชด.บ้านเมืองทอง","สำนักงานตำรวจแห่งชาติ","2563","2566","2"
"SCH_G3_0049","user_code","7241222413","รร.ตชด.บ้านนาชมภู","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0050","user_code","7242022408","รร.ตชด.บ้านหนองแคน","สำนักงานตำรวจแห่งชาติ","2563","2566","4"
"SCH_G3_0051","user_code","7242042402","รร.ตชด.บ้านห้วยเป้า","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0052","user_code","7242042405","รร.ตชด.ฮิลมาร์พาเบิล","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0053","user_code","7242042407","รร.ตชด.บ้านนานกปีด","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0054","user_code","7242052401","รร.ตชด.เฉลิมราษฎร์บำรุง","สำนักงานตำรวจแห่งชาติ","2563","2567","2"
"SCH_G3_0055","user_code","7242062414","รร.ตชด.บ้านนาปอ","สำนักงานตำรวจแห่งชาติ","2563","2567","2"
"SCH_G3_0056","user_code","7242132410","รร.ตชด.บ้านวังชมภู","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0057","user_code","7247152307","รร.ตชด.ค็อกนิสไทยฯ","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0058","user_code","7248032301","รร.ตชด.ชูทิศวิทยา","สำนักงานตำรวจแห่งชาติ","2563","2566","4"
"SCH_G3_0059","user_code","7248032303","รร.ตชด.บ้านหาดทรายเพ","สำนักงานตำรวจแห่งชาติ","2563","2567","5"
"SCH_G3_0060","user_code","7248032309","ศกร.ตชด.บ้านนากระเสริม","สำนักงานตำรวจแห่งชาติ","2563","2567","5"
"SCH_G3_0061","user_code","7248042310","ศกร.ตชด.บ้านปากห้วยม่วง","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0062","user_code","7248102304","รร.ตชด.บ้านหนองดู่","สำนักงานตำรวจแห่งชาติ","2563","2563","1"
"SCH_G3_0063","user_code","7248112302","รร.ตชด.ช่างกลปทุมวันอนุสรณ์ 8","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0064","user_code","7248112305","รร.ตชด.บ้านนาสามัคคี","สำนักงานตำรวจแห่งชาติ","2563","2566","4"
"SCH_G3_0065","user_code","7249042308","รร.ตชด.การท่าอากาศยานฯ (ขยายโอกาส)","สำนักงานตำรวจแห่งชาติ","2568","2568","1"
"SCH_G3_0066","user_code","7249052311","ศกร.ตชด.ใต้ร่มพระบารมี (ธนาคารอาคารสงเคราะห์อุปถัมภ์)","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0067","user_code","7250030005","ศกร.ตชด.สนั่น-เฉลิมเกตุ นภาศัพท์","สำนักงานตำรวจแห่งชาติ","2564","2567","4"
"SCH_G3_0068","user_code","7250033310","รร.ตชด.บ้านแม่ลอง","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0069","user_code","7250033314","รร.ตชด.บ้านใหม่พัฒนาสันติ","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0070","user_code","7250033332","รร.ตชด.บางกอก เชฟ แชร์ริตี้ บ้านแม่ขอ","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0071","user_code","7250033333","ศกร.ตชด.บ้านแม่มุใน (บริษัท ซี เค พาวเวอร์ จำกัด (มหาชน)อุปถัมภ์)","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0072","user_code","7250043311","รร.ตชด.เฉลิมพระเกียรติฯ","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0073","user_code","7250043316","รร.ตชด.บ้านหนองแขม","สำนักงานตำรวจแห่งชาติ","2563","2567","5"
"SCH_G3_0074","user_code","7250063315","รร.ตชด.ไลออนส์มหาจักร 9","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0075","user_code","7250093302","รร.ตชด.อาโอยาม่า","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0076","user_code","7250103301","รร.ตชด.เฮียงไทยธำรงค์","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0077","user_code","7250103307","รร.ตชด.ทุติยะโพธิ์อนุสรณ์","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0078","user_code","7250113304","รร.ตชด.เจ้าพ่อหลวงอุปถัมภ์ 2","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0079","user_code","7250183318","รร.ตชด.รางวัลอินทิรา  คานธี","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0080","user_code","7250183319","รร.ตชด.ท่านผู้หญิงประไพ ศิวะโกเศศ","สำนักงานตำรวจแห่งชาติ","2563","2566","2"
"SCH_G3_0081","user_code","7250183326","รร.ตชด.บางกอก เชฟ แชร์ริตี้","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0082","user_code","7250183336","ศูนย์การเรียนตำรวจตระเวนชายแดนพระยาประสาทธาตุการย์และคุณหญิงวาส (ประนิช)","สำนักงานตำรวจแห่งชาติ","2568","2568","1"
"SCH_G3_0083","user_code","7250203303","รร.ตชด.เบญจมะ 1","สำนักงานตำรวจแห่งชาติ","2568","2568","1"
"SCH_G3_0084","user_code","7250283334","ศกร.ตชด.บ้านนามะอื้น","สำนักงานตำรวจแห่งชาติ","2563","2567","5"
"SCH_G3_0085","user_code","7253063101","รร.ตชด.บุญธรรม-บุญพรั้ง","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0086","user_code","7253063105","รร.ตชด.ยอดโพธิ์ทอง 1","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0087","user_code","7255013224","ศกร.ตชด.บ้านห้วยลู่","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0088","user_code","7255023216","รร.ตชด.พีระยานุเคราะห์ฯ 3","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0089","user_code","7255123217","รร.ตชด.เฉลิมฉลอง 100 ปีฯ","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0090","user_code","7256033223","ศูนย์การเรียนตำรวจตระเวนชายแดนอินทรีอาสา (บ้านห้วยปุ้ม)","สำนักงานตำรวจแห่งชาติ","2567","2568","2"
"SCH_G3_0091","user_code","7256063211","รร.ตชด.เบ็ตตี้ดูเมน","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0092","user_code","7256113223","ศกร.ตชด.อินทรีอาสา (บ้านห้วยปุ้ม)","สำนักงานตำรวจแห่งชาติ","2563","2566","4"
"SCH_G3_0093","user_code","7257013213","รร.ตชด.เทคนิคดุสิต","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0094","user_code","7257013222","ศกร.ตชด.บ้านจะนู (จิราธิวัฒน์อุปถัมภ์)","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0095","user_code","7257033203","รร.ตชด.อาชีวศึกษา เชียงราย-พะเยา","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0096","user_code","7257103201","รร.ตชด.บ้านดอยล้าน *","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0097","user_code","7257103221","ศกร.ตชด.อินทรีอาสา (บ้านห้วยน้ำกืน)","สำนักงานตำรวจแห่งชาติ","2563","2567","3"
"SCH_G3_0098","user_code","7257133206","รร.ตชด.ชนัตถ์ปิยะอุย","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0099","user_code","7257133219","ศกร.ตชด.บ้านฟ้าไทยงาม","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0100","user_code","7257133220","ศกร.ตชด.บ้านห้วยกุ๊ก","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0101","user_code","7257153208","รร.ตชด.เจ้าพ่อหลวงอุปถัมภ์ 4 *","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0102","user_code","7257153210","รร.ตชด.บำรุงที่ 112 *","สำนักงานตำรวจแห่งชาติ","2563","2564","2"
"SCH_G3_0103","user_code","7257153214","รร.ตชด.สังวาลย์วิท 8 *","สำนักงานตำรวจแห่งชาติ","2563","2568","4"
"SCH_G3_0104","user_code","7258013323","ศกร.ตชด.บ้านดอยแสง","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0105","user_code","7258023328","ศกร.ตชด.บ้านห้วยโปงเลา","สำนักงานตำรวจแห่งชาติ","2563","2568","4"
"SCH_G3_0106","user_code","7258033331","ศูนย์การเรียนตำรวจตระเวนชายแดนบำรุงที่ 114","สำนักงานตำรวจแห่งชาติ","2567","2568","2"
"SCH_G3_0107","user_code","7258043320","ศกร.ตชด.บ้านโกแประ","สำนักงานตำรวจแห่งชาติ","2563","2568","4"
"SCH_G3_0108","user_code","7258043321","ศกร.ตชด.บ้านปอหมื้อ","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0109","user_code","7258043322","รร.ตชด.๙๐๕","สำนักงานตำรวจแห่งชาติ","2563","2568","4"
"SCH_G3_0110","user_code","7258043327","ศกร.ตชด.บ้านแม่เหลอ","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0111","user_code","7258053308","รร.ตชด.บ้านแม่ลางิ้ว","สำนักงานตำรวจแห่งชาติ","2563","2567","4"
"SCH_G3_0112","user_code","7258053309","รร.ตชด.บ้านตุน","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0113","user_code","7258063329","ศกร.ตชด.บ้านห้วยมะโอ","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0114","user_code","7258073305","รร.ตชด.ชมรมอนุรักษ์พุทธศิลปไทยอนุสรณ์","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0115","user_code","7258073313","รร.ตชด.ชมรมอนุรักษ์พุทธศิลปไทยอนุสรณ์ 2","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0116","user_code","7258073324","ศกร.ตชด.เฉลิมพระเกียรติ ฯ บ้านน้ำบ่อสะเป่","สำนักงานตำรวจแห่งชาติ","2563","2567","4"
"SCH_G3_0117","user_code","7258133330","ศกร.ตชด.พลเอก อรชุน พิบูลนครินทร์","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0118","user_code","7258153331","รร.ตชด.บำรุงที่ 114","สำนักงานตำรวจแห่งชาติ","2563","2564","2"
"SCH_G3_0119","user_code","7263043403","รร.ตชด.เฉลิมพระเกียรติ 7 รอบฯ (บ้านแพะ จังหวัดตาก)","สำนักงานตำรวจแห่งชาติ","2563","2566","3"
"SCH_G3_0120","user_code","7263043419","รร.ตชด.หม่อมราชวงศ์เฉลิมลักษณ์ จันทรเสน (ขยายโอกาส)","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0121","user_code","7263043420","ศกร.ตชด.บ้านทีวะเบยทะ *","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0122","user_code","7263043421","ศกร.ตชด.บ้านวะกะเลโค๊ะ *(เอ็ม เอส ไอ จี อุปถัมภ์)","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0123","user_code","7263043422","ศกร.ตชด.บ้านเลผะสุคี *","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0124","user_code","7263043427","ศกร.ตชด.บ้านห้วยสลุง","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0125","user_code","7263043428","ศูนย์การเรียนตำรวจตระเวนชายแดนธนาคารออมสินอุปถัมภ์ (บ้านเทอคี)","สำนักงานตำรวจแห่งชาติ","2565","2568","4"
"SCH_G3_0126","user_code","7263053402","รร.ตชด.จุฬา - ธรรมศาสตร์ 3","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0127","user_code","7263053404","รร.ตชด.เทคนิคอาสา 1","สำนักงานตำรวจแห่งชาติ","2563","2567","5"
"SCH_G3_0128","user_code","7263053409","รร.ตชด.บ้านกามาผาโด้","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0129","user_code","7263053414","ศกร.ตชด.บ้านแม่อมยะ *","สำนักงานตำรวจแห่งชาติ","2563","2565","3"
"SCH_G3_0130","user_code","7263053415","ศกร.ตชด.บ้านแม่ละนา *","สำนักงานตำรวจแห่งชาติ","2563","2566","4"
"SCH_G3_0131","user_code","7263053416","ศกร.ตชด.บ้านพอบือละคี *","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0132","user_code","7263053417","ศกร.ตชด.บ้านแม่หละคี *","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0133","user_code","7263053418","ศกร.ตชด.บ้านคะเนจือทะ *","สำนักงานตำรวจแห่งชาติ","2563","2566","4"
"SCH_G3_0134","user_code","7263053423","ศกร.ตชด.บ้านเลโพเด *","สำนักงานตำรวจแห่งชาติ","2565","2568","3"
"SCH_G3_0135","user_code","7263053424","ศกร.ตชด.บ้านตีนดอย *","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
