"indicator_seq","indicator_code","indicator_text","raw_value"
"1","1.1.1","บริหารจัดการสถานพัฒนาเด็กปฐมวัยอย่างเป็นระบบ","(1)1.1.1 บริหารจัดการสถานพัฒนาเด็กปฐมวัยอย่างเป็นระบบ"
"2","1.1.2","บริหารหลักสูตรสถานพัฒนาเด็กปฐมวัย","(2)1.1.2 บริหารหลักสูตรสถานพัฒนาเด็กปฐมวัย"
"3","1.1.3","บริหารจัดการข้อมูลอย่างเป็นระบบ","(3)1.1.3 บริหารจัดการข้อมูลอย่างเป็นระบบ"
"4","1.2.1","บริหารจัดการบุคลากรอย่างเป็นระบบ","(4)1.2.1 บริหารจัดการบุคลากรอย่างเป็นระบบ"
"5","1.2.2","ผู้บริหารสถานพัฒนาเด็กปฐมวัย/หัวหน้าระดับปฐมวัย/ผู้ดำเนินกิจการ มีคุณวุฒิ/คุณสมบัติเหมาะสม และบริหารงานอย่างมีประสิทธิภาพ","(5)1.2.2 ผู้บริหารสถานพัฒนาเด็กปฐมวัย/หัวหน้าระดับปฐมวัย/ผู้ดำเนินกิจการ มีคุณวุฒิ/คุณสมบัติเหมาะสม และบริหารงานอย่างมีประสิทธิภาพ"
"6","1.2.3","ครู/ผู้ดูแลเด็กที่ทำหน้าที่หลักในการดูแลและพัฒนาเด็กปฐมวัย มีวุฒิการศึกษา/คุณสมบัติเหมาะสม","(6)1.2.3 ครู/ผู้ดูแลเด็กที่ทำหน้าที่หลักในการดูแลและพัฒนาเด็กปฐมวัย มีวุฒิการศึกษา/คุณสมบัติเหมาะสม"
"7","1.2.4","บริหารบุคลากรจัดอัตราส่วนของครู/ผู้ดูแลเด็กอย่างเหมาะสม พอเพียงต่อจำนวนเด็กในแต่ละกลุ่มอายุ","(7)1.2.4 บริหารบุคลากรจัดอัตราส่วนของครู/ผู้ดูแลเด็กอย่างเหมาะสม พอเพียงต่อจำนวนเด็กในแต่ละกลุ่มอายุ"
"8","1.3.1","บริหารจัดการด้านสภาพแวดล้อมเพื่อความปลอดภัยอย่างเป็นระบบ","(8)1.3.1 บริหารจัดการด้านสภาพแวดล้อมเพื่อความปลอดภัยอย่างเป็นระบบ"
"9","1.3.2","โครงสร้างและตัวอาคารมั่นคง ตั้งอยู่ในบริเวณและสภาพแวดล้อมที่ปลอดภัย","(9)1.3.2 โครงสร้างและตัวอาคารมั่นคง ตั้งอยู่ในบริเวณและสภาพแวดล้อมที่ปลอดภัย"
"10","1.3.3","จัดการความปลอดภัยของพื้นที่เล่น/สนามเด็กเล่น และสภาพแวดล้อมภายนอกอาคาร","(10)1.3.3 จัดการความปลอดภัยของพื้นที่เล่น/สนามเด็กเล่น และสภาพแวดล้อมภายนอกอาคาร"
"11","1.3.4","จัดการสภาพแวดล้อมภายในอาคาร ครุภัณฑ์ อุปกรณ์ เครื่องใช้ให้ปลอดภัยเหมาะสมกับการใช้งาน และเพียงพอ","(11)1.3.4 จัดการสภาพแวดล้อมภายในอาคาร ครุภัณฑ์ อุปกรณ์ เครื่องใช้ให้ปลอดภัยเหมาะสมกับการใช้งาน และเพียงพอ"
"12","1.3.5","จัดให้มีของเล่นที่ปลอดภัยได้มาตรฐาน มีจำนวนเพียงพอ สะอาด เหมาะสมกับระดับพัฒนาการของเด็ก","(12)1.3.5 จัดให้มีของเล่นที่ปลอดภัยได้มาตรฐาน มีจำนวนเพียงพอ สะอาด เหมาะสมกับระดับพัฒนาการของเด็ก"
"13","1.3.6","ส่งเสริมให้เด็กปฐมวัยเดินทางอย่างปลอดภัย","(13)1.3.6 ส่งเสริมให้เด็กปฐมวัยเดินทางอย่างปลอดภัย"
"14","1.3.7","จัดให้มีระบบป้องกันภัยจากบุคคลทั้งภายในและภายนอกสถานพัฒนาเด็กปฐมวัย","(14)1.3.7 จัดให้มีระบบป้องกันภัยจากบุคคลทั้งภายในและภายนอกสถานพัฒนาเด็กปฐมวัย"
"15","1.3.8","จัดให้มีระบบรับเหตุฉุกเฉิน ป้องกันอัคคีภัย/ภัยพิบัติตามความเสี่ยงของพื้นที่","(15)1.3.8 จัดให้มีระบบรับเหตุฉุกเฉิน ป้องกันอัคคีภัย/ภัยพิบัติตามความเสี่ยงของพื้นที่"
"16","1.4.1","มีการจัดการเพื่อส่งเสริมสุขภาพ เฝ้าระวังการเจริญเติบโตของเด็ก และดูแลการเจ็บป่วยเบื้องต้น","(16)1.4.1 มีการจัดการเพื่อส่งเสริมสุขภาพ เฝ้าระวังการเจริญเติบโตของเด็ก และดูแลการเจ็บป่วยเบื้องต้น"
"17","1.4.2","มีแผนและดำเนินการตรวจสุขอนามัยประจำวัน ตรวจสุขภาพประจำปี และป้องกัน ควบคุมโรคติดต่อ","(17)1.4.2 มีแผนและดำเนินการตรวจสุขอนามัยประจำวัน ตรวจสุขภาพประจำปี และป้องกัน ควบคุมโรคติดต่อ"
"18","1.4.3","อาคารต้องมีพื้นที่ใช้สอยเป็นสัดส่วนตามกิจวัตรประจำวันของเด็กที่เหมาะสมตามช่วงวัย และการใช้ประโยชน์","(18)1.4.3 อาคารต้องมีพื้นที่ใช้สอยเป็นสัดส่วนตามกิจวัตรประจำวันของเด็กที่เหมาะสมตามช่วงวัย และการใช้ประโยชน์"
"19","1.4.4","จัดให้มีพื้นที่/มุมประสบการณ์ และแหล่งเรียนรู้ในห้องเรียนและนอกห้องเรียน","(19)1.4.4 จัดให้มีพื้นที่/มุมประสบการณ์ และแหล่งเรียนรู้ในห้องเรียนและนอกห้องเรียน"
"20","1.4.5","จัดบริเวณห้องน้ำ ห้องส้วม ที่แปรงฟัน/ล้างมือให้เพียงพอ สะอาด ปลอดภัย และเหมาะสมกับการใช้งานของเด็ก","(20)1.4.5 จัดบริเวณห้องน้ำ ห้องส้วม ที่แปรงฟัน/ล้างมือให้เพียงพอ สะอาด ปลอดภัย และเหมาะสมกับการใช้งานของเด็ก"
"21","1.4.6","จัดการระบบสุขาภิบาลที่มีประสิทธิภาพ ครอบคลุมสถานที่ปรุง ประกอบอาหาร น้ำดื่มน้ำใช้ กำจัดขยะ สิ่งปฏิกูล และพาหะนำโรค","(21)1.4.6 จัดการระบบสุขาภิบาลที่มีประสิทธิภาพ ครอบคลุมสถานที่ปรุง ประกอบอาหาร น้ำดื่มน้ำใช้ กำจัดขยะ สิ่งปฏิกูล และพาหะนำโรค"
"22","1.4.7","จัดอุปกรณ์ภาชนะและเครื่องใช้ส่วนตัวให้เพียงพอกับการใช้งานของเด็กทุกคน และดูแลความสะอาด และปลอดภัยอย่างสม่ำเสมอ","(22)1.4.7 จัดอุปกรณ์ภาชนะและเครื่องใช้ส่วนตัวให้เพียงพอกับการใช้งานของเด็กทุกคน และดูแลความสะอาด และปลอดภัยอย่างสม่ำเสมอ"
"23","1.5.1","มีการสื่อสารเพื่อสร้างความสัมพันธ์และความเข้าใจอันดีระหว่างพ่อแม่/ผู้ปกครอง กับสถานพัฒนาเด็กปฐมวัย เกี่ยวกับตัวเด็กและการดำเนินงานของสถานพัฒนาเด็กปฐมวัย","(23)1.5.1 มีการสื่อสารเพื่อสร้างความสัมพันธ์และความเข้าใจอันดีระหว่างพ่อแม่/ผู้ปกครอง กับสถานพัฒนาเด็กปฐมวัย เกี่ยวกับตัวเด็กและการดำเนินงานของสถานพัฒนาเด็กปฐมวัย"
"24","1.5.2","การจัดกิจกรรมที่พ่อแม่/ผู้ปกครอง/ครอบครัว และชุมชนมีส่วนร่วม","(24)1.5.2 การจัดกิจกรรมที่พ่อแม่/ผู้ปกครอง/ครอบครัว และชุมชนมีส่วนร่วม"
"25","1.5.3","ดำเนินงานให้สถานพัฒนาเด็กปฐมวัยเป็นแหล่งเรียนรู้แก่ชุมชนในเรื่องการพัฒนาเด็กปฐมวัย","(25)1.5.3 ดำเนินงานให้สถานพัฒนาเด็กปฐมวัยเป็นแหล่งเรียนรู้แก่ชุมชนในเรื่องการพัฒนาเด็กปฐมวัย"
"26","1.5.4","มีคณะกรรมการสถานพัฒนาเด็กปฐมวัย","(26)1.5.4 มีคณะกรรมการสถานพัฒนาเด็กปฐมวัย"
"27","2.1.1","มีแผนการจัดประสบการณ์การเรียนรู้ที่สอดคล้องกับหลักสูตร การศึกษาปฐมวัย มีการดำเนินงานและประเมินผล","(27)2.1.1 มีแผนการจัดประสบการณ์การเรียนรู้ที่สอดคล้องกับหลักสูตร การศึกษาปฐมวัย มีการดำเนินงานและประเมินผล"
"28","2.1.2","จัดพื้นที่/มุมประสบการณ์การเรียนรู้และการเล่นที่เหมาะสมอย่างหลากหลาย","(28)2.1.2 จัดพื้นที่/มุมประสบการณ์การเรียนรู้และการเล่นที่เหมาะสมอย่างหลากหลาย"
"29","2.1.3","จัดกิจกรรมส่งเสริมพัฒนาการทุกด้านอย่างบูรณาการตามธรรมชาติของเด็กที่เรียนรู้ด้วยประสาทสัมผัส ลงมือทำปฎิสัมพันธ์ และการเล่น","(29)2.1.3 จัดกิจกรรมส่งเสริมพัฒนาการทุกด้านอย่างบูรณาการตามธรรมชาติของเด็กที่เรียนรู้ด้วยประสาทสัมผัส ลงมือทำปฎิสัมพันธ์ และการเล่น"
"30","2.1.4","เลือกใช้สื่อ/อุปกรณ์ เทคโนโลยี เครื่องเล่น และจัดสภาพแวดล้อม ภายใน-ภายนอก แหล่งเรียนรู้ที่เพียงพอ เหมาะสม ปลอดภัย","(30)2.1.4 เลือกใช้สื่อ/อุปกรณ์ เทคโนโลยี เครื่องเล่น และจัดสภาพแวดล้อม ภายใน-ภายนอก แหล่งเรียนรู้ที่เพียงพอ เหมาะสม ปลอดภัย"
"31","2.1.5","เฝ้าระวังติดตามพัฒนาการเด็กรายบุคคลเป็นระยะ เพื่อใช้ผลในการจัดกิจกรรมพัฒนาเด็กทุกคนให้เต็มตามศักยภาพ","(31)2.1.5 เฝ้าระวังติดตามพัฒนาการเด็กรายบุคคลเป็นระยะ เพื่อใช้ผลในการจัดกิจกรรมพัฒนาเด็กทุกคนให้เต็มตามศักยภาพ"
"32","2.2.1","ให้เด็กอายุ 6 เดือนขึ้นไป รับประทานอาหารที่ครบถ้วนในปริมาณที่เพียงพอ และส่งเสริมพฤติกรรมการกินที่เหมาะสม","(32)2.2.1 ให้เด็กอายุ 6 เดือนขึ้นไป รับประทานอาหารที่ครบถ้วนในปริมาณที่เพียงพอ และส่งเสริมพฤติกรรมการกินที่เหมาะสม"
"33","2.2.2","จัดกิจกรรมให้เด็กได้ลงมือปฎิบัติอย่างถูกต้องเหมาะสม ในการดูแลสุขภาพ ความปลอดภัยในชีวิตประจำวัน","(33)2.2.2 จัดกิจกรรมให้เด็กได้ลงมือปฎิบัติอย่างถูกต้องเหมาะสม ในการดูแลสุขภาพ ความปลอดภัยในชีวิตประจำวัน"
"34","2.2.3","ตรวจสุขภาพอนามัยของเด็กประจำวัน ความสะอาดของร่างกาย ฟัน และช่องปากเพื่อคัดกรองโรคและการบาดเจ็บ","(34)2.2.3 ตรวจสุขภาพอนามัยของเด็กประจำวัน ความสะอาดของร่างกาย ฟัน และช่องปากเพื่อคัดกรองโรคและการบาดเจ็บ"
"35","2.2.4","เฝ้าระวังติดตามการเจริญเติบโตของเด็กเป็นรายบุคคล บันทึกผลภาวะโภชนาการอย่างต่อเนื่อง","(35)2.2.4 เฝ้าระวังติดตามการเจริญเติบโตของเด็กเป็นรายบุคคล บันทึกผลภาวะโภชนาการอย่างต่อเนื่อง"
"36","2.2.5","จัดให้มีการตรวจสุขภาพร่างกาย ฟันและช่องปาก สายตา หู ตามกำหนด","(36)2.2.5 จัดให้มีการตรวจสุขภาพร่างกาย ฟันและช่องปาก สายตา หู ตามกำหนด"
"37","2.3.1","จัดกิจกรรมส่งเสริมให้เด็กได้สังเกต สัมผัส ลองทำ คิดตั้งคำถาม สืบเสาะหาความรู้ แก้ปัญหา จินตนาการ คิดสร้างสรรค์ โดยยอมรับความคิดและผลงานที่แตกต่างของเด็ก","(37)2.3.1 จัดกิจกรรมส่งเสริมให้เด็กได้สังเกต สัมผัส ลองทำ คิดตั้งคำถาม สืบเสาะหาความรู้ แก้ปัญหา จินตนาการ คิดสร้างสรรค์ โดยยอมรับความคิดและผลงานที่แตกต่างของเด็ก"
"38","2.3.2","จัดกิจกรรมและประสบการณ์ทางภาษาที่มีความหมายต่อเด็ก เพื่อการสื่อสารอย่างหลากหลาย ฝึกฟัง พูด ถาม ตอบ เล่าและสนทนาตามลำดับขั้นตอนพัฒนาการ","(38)2.3.2 จัดกิจกรรมและประสบการณ์ทางภาษาที่มีความหมายต่อเด็ก เพื่อการสื่อสารอย่างหลากหลาย ฝึกฟัง พูด ถาม ตอบ เล่าและสนทนาตามลำดับขั้นตอนพัฒนาการ"
"39","2.3.3","จัดกิจกรรมปลูกฝังให้เด็กมีนิสัยรักการอ่าน ให้เด็กมีทักษะการดูภาพ ฟังเรื่องราว พูดเล่า อ่าน วาด/เขียน เบื้องต้น ตามลำดับพัฒนาการ โดยครู/ผู้ดูแลเด็ก เป็นตัวอย่างของการพูด และการอ่านที่ถูกต้อง","(39)2.3.3 จัดกิจกรรมปลูกฝังให้เด็กมีนิสัยรักการอ่าน ให้เด็กมีทักษะการดูภาพ ฟังเรื่องราว พูดเล่า อ่าน วาด/เขียน เบื้องต้น ตามลำดับพัฒนาการ โดยครู/ผู้ดูแลเด็ก เป็นตัวอย่างของการพูด และการอ่านที่ถูกต้อง"
"40","2.3.4","จัดให้เด็กมีประสบการณ์เรียนรู้เกี่ยวกับตัวเด็ก บุคคล สิ่งต่างๆ สถานที่ และธรรมชาติรอบตัวด้วยวิธีการที่เหมาะสมกับวัยและพัฒนาการ","(40)2.3.4 จัดให้เด็กมีประสบการณ์เรียนรู้เกี่ยวกับตัวเด็ก บุคคล สิ่งต่างๆ สถานที่ และธรรมชาติรอบตัวด้วยวิธีการที่เหมาะสมกับวัยและพัฒนาการ"
"41","2.3.5","จัดกิจกรรมและประสบการณ์ด้านคณิตศาสตร์และวิทยาศาสตร์ เบื้องต้นตามวัย โดยเด็กเรียนรู้ผ่านประสาทสัมผัสและลงมือปฎิบัติ ด้วยตัวเอง","(41)2.3.5 จัดกิจกรรมและประสบการณ์ด้านคณิตศาสตร์และวิทยาศาสตร์ เบื้องต้นตามวัย โดยเด็กเรียนรู้ผ่านประสาทสัมผัสและลงมือปฎิบัติ ด้วยตัวเอง"
