"year","source_file","row_number_in_sheet","ministry","sub_agency_1","sub_agency_2","sub_agency_3","province","district","subdistrict","user_code","center_name","open_date","improvement_codes_raw","improvement_code_count","improvement_codes_mapped"
"2563","7. 2563 REP004-IMPROVEMENT 12 - ตารางสรุปรายงานมาตรฐานแต่ละด้าน พร้อมจำนวนข้อที่ต้องปรับปรุง และจำนวนเด็กที่ผ่านเกณฑ์.xls","14","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 12","","","","7227071209","รร.ตชด.บ้านน้ำอ้อม","09/02/2525","","0",""
"2563","7. 2563 REP004-IMPROVEMENT 12 - ตารางสรุปรายงานมาตรฐานแต่ละด้าน พร้อมจำนวนข้อที่ต้องปรับปรุง และจำนวนเด็กที่ผ่านเกณฑ์.xls","15","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 12","","","","7227091202","รร.ตชด.บ้านทุ่งกบินทร์","20/06/2520","1.2.3,1.3.5,1.4.2,1.4.4,3.6.2ข","5","1.2.3,1.3.5,1.4.2,1.4.4,3.6.2"
"2563","7. 2563 REP004-IMPROVEMENT 12 - ตารางสรุปรายงานมาตรฐานแต่ละด้าน พร้อมจำนวนข้อที่ต้องปรับปรุง และจำนวนเด็กที่ผ่านเกณฑ์.xls","16","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 12","","","","7227091203","รร.ตชด.วังศรีทอง","","1.2.3","1","1.2.3"
"2563","7. 2563 REP004-IMPROVEMENT 12 - ตารางสรุปรายงานมาตรฐานแต่ละด้าน พร้อมจำนวนข้อที่ต้องปรับปรุง และจำนวนเด็กที่ผ่านเกณฑ์.xls","17","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 1","กองกำกับการตำรวจตระเวนชายแดนที่ 12","","","","7227091212","รร.ตชด.พีระยานุเคราะห์ฯ 1","01/06/2538","","0",""
"2563","7. 2563 REP004-IMPROVEMENT 12 - ตารางสรุปรายงานมาตรฐานแต่ละด้าน พร้อมจำนวนข้อที่ต้องปรับปรุง และจำนวนเด็กที่ผ่านเกณฑ์.xls","18","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 2","กองกำกับการตำรวจตระเวนชายแดนที่ 21","","","","7232052103","รร.ตชด.พีระยานุเคราะห์ฯ 2","","1.2.1,1.3.6,1.3.8","3","1.2.1,1.3.6,1.3.8"
"2563","7. 2563 REP004-IMPROVEMENT 12 - ตารางสรุปรายงานมาตรฐานแต่ละด้าน พร้อมจำนวนข้อที่ต้องปรับปรุง และจำนวนเด็กที่ผ่านเกณฑ์.xls","19","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 2","กองกำกับการตำรวจตระเวนชายแดนที่ 21","","","","7232102105","รร.ตชด.บ้านตาตุม","","3.5.2ข,3.5.3ข","2","3.5.2,3.5.3"
"2563","7. 2563 REP004-IMPROVEMENT 12 - ตารางสรุปรายงานมาตรฐานแต่ละด้าน พร้อมจำนวนข้อที่ต้องปรับปรุง และจำนวนเด็กที่ผ่านเกณฑ์.xls","20","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 2","กองกำกับการตำรวจตระเวนชายแดนที่ 21","","","","7232102106","รร.ตชด.บ้านตาแตรว","30/03/2540","","0",""
"2563","7. 2563 REP004-IMPROVEMENT 12 - ตารางสรุปรายงานมาตรฐานแต่ละด้าน พร้อมจำนวนข้อที่ต้องปรับปรุง และจำนวนเด็กที่ผ่านเกณฑ์.xls","21","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 2","กองกำกับการตำรวจตระเวนชายแดนที่ 21","","","","7232142101","รร.ตชด.บ้านโคกแสลง","29/04/2566","","0",""
"2563","7. 2563 REP004-IMPROVEMENT 12 - ตารางสรุปรายงานมาตรฐานแต่ละด้าน พร้อมจำนวนข้อที่ต้องปรับปรุง และจำนวนเด็กที่ผ่านเกณฑ์.xls","22","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 2","กองกำกับการตำรวจตระเวนชายแดนที่ 22","","","","7233042210","รร.ตชด.บ้านหนองใหญ่","01/05/2538","","0",""
"2563","7. 2563 REP004-IMPROVEMENT 12 - ตารางสรุปรายงานมาตรฐานแต่ละด้าน พร้อมจำนวนข้อที่ต้องปรับปรุง และจำนวนเด็กที่ผ่านเกณฑ์.xls","23","สำนักงานตำรวจแห่งชาติ","กองบัญชาการตำรวจตระเวนชายแดน","กองบังคับการตำรวจตระเวนชายแดนภาค 2","กองกำกับการตำรวจตระเวนชายแดนที่ 22","","","","7234092204","รร.ตชด.บ้านท่าแสนคูณ","27/08/2567","1.3.4,3.1.3ข,3.5.3ข,3.6.3ข,3.6.4ข","5","1.3.4,3.1.3,3.5.3,3.6.3,3.6.4"
